First Name,Last Name,Email,Phone Number,Company Name,Job Title,Industry,City,State,Country,Lifecycle Stage,Lead Status,Created Date
William,Thompson,wthompson@gmail.com,(201) 249-7323,Vantage Point Law,Executive Assistant,Financial Services,Tampa,FL,United States,salesqualifiedlead,Unqualified,6/18/2025
Linda,Flores,linda.flores@business.net,(951) 272-5979,Silverline Logistics,Finance Director,Education,Tampa,FL,United States,subscriber,New,4/18/2026
Emily,Harris,eharris@outlook.com,5375091187,Redstone Realty,Business Development Rep,Nonprofit,Kansas City,MO,United States,lead,New,5/13/2026
Helen,Nguyen,helennguyen@gmail.com,(209) 751-8546,Amber Grove Retail,VP of Sales,Insurance,Kansas City,MO,United States,marketingqualifiedlead,Bad Timing,8/22/2024
Kimberly,Flores,kimberly.flores@outlook.com,(322) 280-9071,Fieldstone Education,Marketing Manager,Media,Milwaukee,WI,United States,opportunity,New,6/20/2025
George,Mitchell,gmitchell@business.net,(580) 443-5521,Cobalt Digital,CEO,Real Estate,Charleston,SC,United States,subscriber,New,11/24/2024
Joseph,Torres,jtorres@yahoo.com,(575) 755-1681,Coppervale Manufacturing,Regional Sales Manager,Education,Raleigh,NC,United States,lead,Unqualified,12/27/2024
James,Carter,jamescarter@business.net,(244) 947-8527,Marlowe & Co.,Account Executive,Biotechnology,Milwaukee,WI,United States,salesqualifiedlead,New,5/27/2026
Ronald,Jones,ronald.jones@gmail.com,(686) 311-6387,Crestline Energy,Regional Sales Manager,Legal Services,Providence,RI,United States,marketingqualifiedlead,New,4/14/2026
Barbara,Lewis,barbaralewis@yahoo.com,(466) 359-5973,Northwind Traders,Marketing Manager,Education,Salt Lake City,UT,United States,lead,In Progress,8/18/2025
Carol,Gonzalez,carolgonzalez@yahoo.com,(745) 526-8227,Willowbrook Nonprofit,Account Executive,Logistics,Sacramento,CA,United States,lead,Open,2/1/2025
Jason,Rodriguez,jason.rodriguez@outlook.com,(466) 588-6363,Cobalt Digital,Regional Sales Manager,Technology,Omaha,NE,United States,marketingqualifiedlead,Bad Timing,5/25/2025
Helen,Rodriguez,helen.rodriguez@yahoo.com,(988) 506-5617,Elmshade Legal,Business Development Rep,Media,Providence,RI,United States,salesqualifiedlead,Unqualified,11/1/2026
Carol,Brown,carolbrown@yahoo.com,(641) 349-5000,Pinnacle Logistics Group,Executive Assistant,Hospitality,Salt Lake City,UT,United States,customer,Bad Timing,3/6/2024
Gary,Gonzalez,ggonzalez@gmail.com,(857) 597-9026,Pinnacle Logistics Group,COO,Nonprofit,Raleigh,NC,United States,opportunity,In Progress,6/8/2024
Edward,Ramirez,eramirez@business.net,(589) 287-5839,Driftwood Hospitality,HR Manager,Nonprofit,Nashville,TN,United States,subscriber,New,3/13/2025
Stephen,Mitchell,stephenmitchell@gmail.com,(658) 606-1003,Aster Marketing,Sales Director,Logistics,Tampa,FL,United States,opportunity,New,4/22/2026
James,Harris,jharris@gmail.com,(748) 567-6463,Willowbrook Nonprofit,IT Manager,Real Estate,Tucson,AZ,United States,subscriber,Connected,2/12/2026
Stephanie,Torres,stephanietorres@outlook.com,(461) 989-6711,Pinnacle Logistics Group,Controller,Legal Services,Nashville,TN,United States,customer,In Progress,1/21/2026
Michelle,Young,michelleyoung@business.net,(262) 289-5583,Lumen Health Partners,VP of Sales,Real Estate,Boise,ID,United States,lead,Connected,4/21/2026
Andrew,Lopez,andrew.lopez@outlook.com,(443) 319-1674,Amber Grove Retail,CEO,Financial Services,Nashville,TN,United States,salesqualifiedlead,In Progress,3/7/2025
Laura,Perez,laura.perez@yahoo.com,(489) 943-5891,Elmshade Legal,CEO,Hospitality,Louisville,KY,United States,customer,Unqualified,8/18/2024
Stephanie,Clark,sclark@business.net,(425) 699-4595,Redstone Realty,Executive Assistant,Construction,Providence,RI,United States,subscriber,Unqualified,11/22/2025
Gregory,Hall,ghall@yahoo.com,(210) 888-1138,Elmshade Legal,Operations Manager,Retail,Nashville,TN,United States,salesqualifiedlead,New,2/22/2026
Stephanie,Gonzalez,sgonzalez2@business.net,(454) 783-3931,Marlowe & Co.,Operations Director,Real Estate,Sacramento,CA,United States,customer,New,10/12/2026
Amanda,Anderson,amanda.anderson@business.net,(853) 826-3784,Crestline Energy,Operations Director,Insurance,Salt Lake City,UT,United States,lead,New,9/16/2025
Emily,Mitchell,emily.mitchell@yahoo.com,(595) 250-3669,Foxglove Biotech,CEO,Media,Denver,CO,United States,lead,Bad Timing,11/8/2024
Michelle,Hernandez,michellehernandez@business.net,(412) 904-8875,Amber Grove Retail,HR Manager,Retail,Columbus,OH,United States,subscriber,Connected,2/27/2024
Debra,Walker,debra.walker@yahoo.com,(823) 799-8354,Lumen Health Partners,Marketing Coordinator,Legal Services,Denver,CO,United States,customer,Open,10/23/2026
Anna,Rodriguez,anna.rodriguez@company.com,(408) 538-2295,Hollowridge Transport,Regional Sales Manager,Insurance,Albuquerque,NM,United States,marketingqualifiedlead,New,4/13/2025
Maggie,Gonzalez,margaretgonzalez@yahoo.com,(393) 883-8794,Quarry Hill Ventures,Regional Sales Manager,Hospitality,Sacramento,CA,United States,customer,In Progress,5/15/2024
Nicholas,Walker,nicholaswalker@gmail.com,9697036253,Harborview Financial,Office Manager,Logistics,Tucson,AZ,United States,subscriber,Attempted to Contact,12/17/2025
Nancy,Jones,nancyjones@outlook.com,(405) 809-7623,Ferncrest Media,HR Manager,Insurance,Milwaukee,WI,United States,salesqualifiedlead,Connected,5/25/2025
Jessica,Nelson,jessica.nelson@outlook.com,(481) 410-5018,Elmshade Legal,CEO,Construction,Providence,RI,United States,subscriber,Bad Timing,10/11/2026
NICOLE,ANDERSON,nanderson@business.net,(735) 628-9773,Willowbrook Nonprofit,Controller,Hospitality,Providence,RI,United States,lead,Unqualified,3/19/2024
Samantha,Rodriguez,srodriguez2@business.net,(366) 385-3712,Aster Marketing,Regional Sales Manager,Retail,Des Moines,IA,United States,salesqualifiedlead,In Progress,3/15/2024
Ben,Robinson,brobinson@business.net,(651) 667-1011,Granite Peak Construction,Finance Director,Nonprofit,Austin,TX,United States,lead,Connected,12/26/2024
James,Carter,jamescarter@company.com,(484) 359-4527,Coppervale Manufacturing,Office Manager,Manufacturing,Nashville,TN,United States,subscriber,Unqualified,6/28/2024
Laura,Mitchell,laura.mitchell@gmail.com,(882) 403-8852,Willowbrook Nonprofit,Product Manager,Manufacturing,Richmond,VA,United States,salesqualifiedlead,Unqualified,8/26/2026
Samantha,Ramirez,samantharamirez@business.net,(466) 590-3675,Lumen Health Partners,Regional Sales Manager,Manufacturing,Denver,CO,United States,marketingqualifiedlead,Connected,12/5/2025
RAYMOND,THOMAS,raymondthomas2@business.net,(684) 766-9698,Steadfast Insurance,Executive Assistant,Nonprofit,Salt Lake City,UT,United States,opportunity,In Progress,4/27/2024
Jonathan,Moore,jonathan.moore@business.net,(531) 920-5794,Cascade Software,CEO,Logistics,Des Moines,IA,United States,opportunity,Connected,3/25/2024
Nicholas,Johnson,nicholasjohnson@outlook.com,(386) 602-1741,,,Biotechnology,Raleigh,NC,United States,customer,In Progress,8/26/2024
Timothy,Brown,tbrown@outlook.com,(335) 455-3396,Quarry Hill Ventures,Office Manager,Insurance,Tampa,FL,United States,lead,Bad Timing,7/16/2026
Robert,Nguyen,rnguyen@gmail.com,(575) 928-1612,Lumen Health Partners,Product Manager,Media,Louisville,KY,United States,opportunity,Attempted to Contact,8/11/2025
Barbara,Wilson,barbara.wilson@outlook.com,(967) 720-5469,Crestline Energy,CEO,Healthcare,Salt Lake City,UT,United States,opportunity,New,10/6/2026
Angela,Thomas,angela.thomas@business.net,(909) 949-7662,Cobalt Digital,VP of Sales,Technology,Denver,CO,United States,marketingqualifiedlead,Open,2/1/2026
Frank,Gonzalez,frank.gonzalez@yahoo.com,(794) 471-1626,Ferncrest Media,COO,Real Estate,Raleigh,NC,United States,marketingqualifiedlead,Connected,7/20/2025
Anna,Martinez,annamartinez@yahoo.com,(754) 575-8439,Northwind Traders,Marketing Coordinator,Real Estate,Omaha,NE,United States,customer,Open,10/28/2024
Angela,Mitchell,amitchell@business.net,(767) 497-1606,Orchard Lane Foods,Purchasing Manager,Construction,Charleston,SC,United States,opportunity,Attempted to Contact,10/22/2026
Stephanie,Hall,shall@company.com,(370) 315-3171,Quarry Hill Ventures,Sales Director,Insurance,Tucson,AZ,United States,lead,New,10/16/2025
Larry,Baker,lbaker@outlook.com,(588) 567-1472,Foxglove Biotech,VP of Sales,Construction,Omaha,NE,United States,salesqualifiedlead,New,8/2/2025
Debra,Hernandez,debrahernandez@gmail.com,(724) 310-6359,Amber Grove Retail,Operations Director,Legal Services,Nashville,TN,United States,lead,Attempted to Contact,9/13/2024
Karen,Torres,karentorres@business.net,(629) 611-5986,Aster Marketing,Office Manager,Biotechnology,Columbus,OH,United States,marketingqualifiedlead,New,9/20/2025
